,0,1,class
0,5.3142643975230985,5.8547501812864,1
1,4.3823099333393065,6.029605792714124,1
2,3.83347282781805,5.217250414739368,1
3,4.302490503858053,5.960187184338751,1
4,1.3513081691713482,2.5574310794514528,0
5,4.797292470009838,6.528609367312788,1
6,4.631411219859921,5.823397628329679,1
7,0.4413329405721709,2.4125601174624123,0
8,0.517162531636119,2.623373363413929,0
9,4.617401818895813,6.600458834841242,1
10,-0.01824785321070599,3.7289736767205337,0
11,4.367609825488248,5.466214780378087,1
12,4.728020937385137,6.372151035166371,1
13,1.5718434374214136,1.916134166340267,0
14,5.52573229991299,5.562446856814225,1
15,4.587595535040049,6.390255125230898,1
16,0.6235087254545078,2.4844715721678092,0
17,6.150407037431292,6.774751402797563,1
18,1.292689266894873,1.6950183289100478,0
19,3.996358098349334,6.7867368260208005,1
20,1.062282602614843,2.403875318922961,0
21,4.250942800742697,6.1296122519709275,1
22,0.8285261484977036,1.8903696591536887,0
23,4.45883523943434,5.726595168918045,1
24,0.9524143127090777,1.6358744131121765,0
25,0.682567488396557,2.1251835701655017,0
26,1.531475979950197,2.2845365268935174,0
27,0.9667494482425175,2.3189490012740355,0
28,4.6147320439341115,6.218113986565348,1
29,0.48905395082749537,2.596945855557706,0
30,0.7462004423238348,2.2510555597023565,0
31,1.206717664016177,1.3096408212457344,0
32,5.536786348347708,5.610164429606187,1
33,0.4978711783335954,1.8320080439500679,0
34,1.0992362190031955,1.3168275825578453,0
35,0.5211300438787743,2.535029479420856,0
36,4.9144530452225945,6.347109756610309,1
37,5.586425617403822,5.541457694095396,1
38,5.392856339761217,5.714576050710134,1
39,0.7181673757575424,2.6061506111208628,0
40,5.746113375965072,5.851032789541082,1
41,1.1083523887130142,1.4958937263903638,0
42,0.3135547505652012,2.9510522146033624,0
43,0.920891734980638,2.419486955140856,0
44,5.5601822792864475,5.842352764602459,1
45,1.509897504398087,2.3427946200545184,0
46,4.91495551564473,5.786328239120615,1
47,1.535335666620843,2.3336941838634138,0
48,2.2889524004076707,1.359824769413499,0
49,5.156804539774111,5.727761420174045,1
50,5.516787157475712,6.032059716406319,1
51,1.20398968332712,1.9651630196057481,0
52,1.7004254434423387,1.847388759636467,0
53,0.5091985981795114,2.0985173295293276,0
54,1.1729364974951344,2.593918533641585,0
55,0.10129099003164665,1.6396194334303065,0
56,4.841704744637454,6.385912521729249,1
57,5.435450719489062,5.91504509978537,1
58,4.424742204261541,5.609999404409038,1
59,4.916371351531195,5.419223855807395,1
60,5.178722254626638,6.8557969479961685,1
61,0.5391428246939416,2.4911719650966697,0
62,4.56941630090163,6.1356397849893805,1
63,1.245283549849261,1.562223927684371,0
64,4.77568961308458,5.783303377141737,1
65,1.4081202715172223,2.0354557676890592,0
66,1.216630855532126,2.40390325054181,0
67,0.21921606558909235,1.5931150732523363,0
68,0.8403545188197683,0.5979523202315185,0
69,1.2872236617165007,2.869932155908984,0
70,0.907475693940288,1.641278272073495,0
71,4.289840635744265,5.792500047412809,1
72,1.3075893718965776,1.3783152717554898,0
73,0.032302804663502105,1.5713571588996962,0
74,4.9743507238822495,6.087989035713945,1
75,5.226997423650397,5.642640492769785,1
76,5.668654999433909,6.264709064974806,1
77,3.750259999970713,6.22162770931391,1
78,0.8228681981109935,2.9712524064123893,0
79,5.489550211073199,5.87991979185262,1
80,0.8856746338142627,1.8205982800315756,0
81,1.8798915992678387,1.922995634142062,0
82,5.239849729387555,6.46146275107454,1
83,5.327651574930629,5.300927465251287,1
84,2.185040166045903,1.8869670782158523,0
85,1.0764018217902913,1.9985595056372025,0
86,0.9403133225966225,2.5515168571793856,0
87,5.579565306393037,5.422802688523446,1
88,5.458254989389287,6.01563459782615,1
89,1.8527313056237613,3.0433622916633447,0
